date,reunion,course,hippodrome,course_nom,discipline,heure,num,cheval,statut,cote_reference,cote_directe,favori,source,maj
2026-07-07,R1,C1,CHANTILLY,SOLEIL BRETAGNE,PLAT,14:18,1,MASTER MAN,PARTANT,"5,2",4,,pmu,2026-07-07 14:27
2026-07-07,R1,C1,CHANTILLY,SOLEIL BRETAGNE,PLAT,14:18,2,JAMINUS,PARTANT,47,45,,pmu,2026-07-07 14:27
2026-07-07,R1,C1,CHANTILLY,SOLEIL BRETAGNE,PLAT,14:18,3,ROYAL RIZZI,PARTANT,13,11,,pmu,2026-07-07 14:27
2026-07-07,R1,C1,CHANTILLY,SOLEIL BRETAGNE,PLAT,14:18,4,JOROLINA,PARTANT,"1,2","1,4",,pmu,2026-07-07 14:27
2026-07-07,R1,C1,CHANTILLY,SOLEIL BRETAGNE,PLAT,14:18,5,SAY MY NAME,PARTANT,14,10,,pmu,2026-07-07 14:27
2026-07-07,R1,C1,CHANTILLY,SOLEIL BRETAGNE,PLAT,14:18,6,ETOILE D ARMOR,PARTANT,26,26,,pmu,2026-07-07 14:27
2026-07-07,R1,C2,CHANTILLY,FOSSE LA COQUE,PLAT,14:53,1,QUINTE FLUSH AAS,PARTANT,22,24,,pmu,2026-07-07 14:27
2026-07-07,R1,C2,CHANTILLY,FOSSE LA COQUE,PLAT,14:53,2,TOMAN,PARTANT,"3,2","3,4",,pmu,2026-07-07 14:27
2026-07-07,R1,C2,CHANTILLY,FOSSE LA COQUE,PLAT,14:53,3,SOL INDIGES,PARTANT,"5,7","5,1",,pmu,2026-07-07 14:27
2026-07-07,R1,C2,CHANTILLY,FOSSE LA COQUE,PLAT,14:53,4,MISTER ENGLAND,PARTANT,"9,1","8,2",,pmu,2026-07-07 14:27
2026-07-07,R1,C2,CHANTILLY,FOSSE LA COQUE,PLAT,14:53,5,SPIA CHOP,PARTANT,21,21,,pmu,2026-07-07 14:27
2026-07-07,R1,C2,CHANTILLY,FOSSE LA COQUE,PLAT,14:53,6,HELLO MAJOR TOM,PARTANT,16,17,,pmu,2026-07-07 14:27
2026-07-07,R1,C2,CHANTILLY,FOSSE LA COQUE,PLAT,14:53,7,AFFIRMATIF,PARTANT,11,11,,pmu,2026-07-07 14:27
2026-07-07,R1,C2,CHANTILLY,FOSSE LA COQUE,PLAT,14:53,8,WANAKA,PARTANT,15,15,,pmu,2026-07-07 14:27
2026-07-07,R1,C2,CHANTILLY,FOSSE LA COQUE,PLAT,14:53,9,JULIAN SCHNABEL,PARTANT,"3,8","3,8",,pmu,2026-07-07 14:27
2026-07-07,R1,C3,CHANTILLY,BUTTE BLANCHE,PLAT,15:28,1,MAGIEL,PARTANT,18,22,,pmu,2026-07-07 14:27
2026-07-07,R1,C3,CHANTILLY,BUTTE BLANCHE,PLAT,15:28,2,JEMAA EL FNA,PARTANT,13,13,,pmu,2026-07-07 14:27
2026-07-07,R1,C3,CHANTILLY,BUTTE BLANCHE,PLAT,15:28,3,BLACK THRILL,PARTANT,30,28,,pmu,2026-07-07 14:27
2026-07-07,R1,C3,CHANTILLY,BUTTE BLANCHE,PLAT,15:28,4,ROCCAPINA,NP,,,,pmu,2026-07-07 14:27
2026-07-07,R1,C3,CHANTILLY,BUTTE BLANCHE,PLAT,15:28,5,NOT AN ANGEL,PARTANT,13,10,,pmu,2026-07-07 14:27
2026-07-07,R1,C3,CHANTILLY,BUTTE BLANCHE,PLAT,15:28,6,VENEZIA QUEEN,PARTANT,"5,7","4,2",,pmu,2026-07-07 14:27
2026-07-07,R1,C3,CHANTILLY,BUTTE BLANCHE,PLAT,15:28,7,MOONA FAL,PARTANT,13,13,,pmu,2026-07-07 14:27
2026-07-07,R1,C3,CHANTILLY,BUTTE BLANCHE,PLAT,15:28,8,ILEOLA,PARTANT,25,19,,pmu,2026-07-07 14:27
2026-07-07,R1,C3,CHANTILLY,BUTTE BLANCHE,PLAT,15:28,9,LADY ARAVACA,PARTANT,"3,1","3,4",,pmu,2026-07-07 14:27
2026-07-07,R1,C3,CHANTILLY,BUTTE BLANCHE,PLAT,15:28,10,TOFU,PARTANT,"4,5","3,8",,pmu,2026-07-07 14:27
2026-07-07,R1,C4,CHANTILLY,RTE DU DINDON,PLAT,16:03,1,GAIDAR,PARTANT,2,"2,1",,pmu,2026-07-07 14:27
2026-07-07,R1,C4,CHANTILLY,RTE DU DINDON,PLAT,16:03,2,ALCOTAN,PARTANT,11,"9,3",,pmu,2026-07-07 14:27
2026-07-07,R1,C4,CHANTILLY,RTE DU DINDON,PLAT,16:03,3,KINGDOM,PARTANT,"8,1","9,9",,pmu,2026-07-07 14:27
2026-07-07,R1,C4,CHANTILLY,RTE DU DINDON,PLAT,16:03,4,DRUIDE,PARTANT,"4,1","3,3",,pmu,2026-07-07 14:27
2026-07-07,R1,C4,CHANTILLY,RTE DU DINDON,PLAT,16:03,5,MURRAY,NP,,,,pmu,2026-07-07 14:27
2026-07-07,R1,C4,CHANTILLY,RTE DU DINDON,PLAT,16:03,6,PARTENIT,PARTANT,"7,3","8,4",,pmu,2026-07-07 14:27
2026-07-07,R1,C4,CHANTILLY,RTE DU DINDON,PLAT,16:03,7,IFFROCTA FAL,PARTANT,12,14,,pmu,2026-07-07 14:27
2026-07-07,R1,C5,CHANTILLY,BIBL. THEATRE,PLAT,16:38,1,MELBORA,PARTANT,"9,4",10,,pmu,2026-07-07 14:27
2026-07-07,R1,C5,CHANTILLY,BIBL. THEATRE,PLAT,16:38,2,XIOMARA,PARTANT,21,18,,pmu,2026-07-07 14:27
2026-07-07,R1,C5,CHANTILLY,BIBL. THEATRE,PLAT,16:38,3,GUILLERETTE,PARTANT,"6,6","7,1",,pmu,2026-07-07 14:27
2026-07-07,R1,C5,CHANTILLY,BIBL. THEATRE,PLAT,16:38,4,GOLDEN DISC,PARTANT,"5,3","5,5",,pmu,2026-07-07 14:27
2026-07-07,R1,C5,CHANTILLY,BIBL. THEATRE,PLAT,16:38,5,CAHAGNES,PARTANT,21,22,,pmu,2026-07-07 14:27
2026-07-07,R1,C5,CHANTILLY,BIBL. THEATRE,PLAT,16:38,6,MAPLE TAFFY,PARTANT,25,23,,pmu,2026-07-07 14:27
2026-07-07,R1,C5,CHANTILLY,BIBL. THEATRE,PLAT,16:38,7,DARK ZEL,PARTANT,"9,3","9,5",,pmu,2026-07-07 14:27
2026-07-07,R1,C5,CHANTILLY,BIBL. THEATRE,PLAT,16:38,8,HAVANA SIX,NP,,,,pmu,2026-07-07 14:27
2026-07-07,R1,C5,CHANTILLY,BIBL. THEATRE,PLAT,16:38,9,LA FERRETCAPIENNE,PARTANT,22,21,,pmu,2026-07-07 14:27
2026-07-07,R1,C5,CHANTILLY,BIBL. THEATRE,PLAT,16:38,10,FROMONTINE,PARTANT,"9,7","9,4",,pmu,2026-07-07 14:27
2026-07-07,R1,C5,CHANTILLY,BIBL. THEATRE,PLAT,16:38,11,SIMANCAS,PARTANT,"6,4","6,1",,pmu,2026-07-07 14:27
2026-07-07,R1,C5,CHANTILLY,BIBL. THEATRE,PLAT,16:38,12,HONGUEMARE,PARTANT,15,15,,pmu,2026-07-07 14:27
2026-07-07,R1,C5,CHANTILLY,BIBL. THEATRE,PLAT,16:38,13,JOYCE GALESTE,PARTANT,11,11,,pmu,2026-07-07 14:27
2026-07-07,R1,C5,CHANTILLY,BIBL. THEATRE,PLAT,16:38,14,NEOWISE,PARTANT,40,36,,pmu,2026-07-07 14:27
2026-07-07,R1,C6,CHANTILLY,D' APREMONT,PLAT,17:13,1,GREY WOLF,PARTANT,32,40,,pmu,2026-07-07 14:27
2026-07-07,R1,C6,CHANTILLY,D' APREMONT,PLAT,17:13,2,RUN VICTORIA,PARTANT,13,14,,pmu,2026-07-07 14:27
2026-07-07,R1,C6,CHANTILLY,D' APREMONT,PLAT,17:13,3,DAR ES SALAAM,PARTANT,"5,8","6,4",,pmu,2026-07-07 14:27
2026-07-07,R1,C6,CHANTILLY,D' APREMONT,PLAT,17:13,4,BACHEROVKA,PARTANT,"5,3","5,8",,pmu,2026-07-07 14:27
2026-07-07,R1,C6,CHANTILLY,D' APREMONT,PLAT,17:13,5,AVEC DES SI,PARTANT,13,13,,pmu,2026-07-07 14:27
2026-07-07,R1,C6,CHANTILLY,D' APREMONT,PLAT,17:13,6,PIETRA FORTUNATA,PARTANT,"6,1","4,6",,pmu,2026-07-07 14:27
2026-07-07,R1,C6,CHANTILLY,D' APREMONT,PLAT,17:13,7,ANDRESY,PARTANT,25,30,,pmu,2026-07-07 14:27
2026-07-07,R1,C6,CHANTILLY,D' APREMONT,PLAT,17:13,8,HALSEY,PARTANT,14,11,,pmu,2026-07-07 14:27
2026-07-07,R1,C6,CHANTILLY,D' APREMONT,PLAT,17:13,9,BAGATELLE,PARTANT,30,30,,pmu,2026-07-07 14:27
2026-07-07,R1,C6,CHANTILLY,D' APREMONT,PLAT,17:13,10,ZERO STRESS,PARTANT,13,13,,pmu,2026-07-07 14:27
2026-07-07,R1,C6,CHANTILLY,D' APREMONT,PLAT,17:13,11,CHARISMATIC GOLD,PARTANT,20,23,,pmu,2026-07-07 14:27
2026-07-07,R1,C6,CHANTILLY,D' APREMONT,PLAT,17:13,12,HAPP'INES,PARTANT,21,24,,pmu,2026-07-07 14:27
2026-07-07,R1,C6,CHANTILLY,D' APREMONT,PLAT,17:13,13,DONNALUCATA,PARTANT,"6,4","6,8",,pmu,2026-07-07 14:27
2026-07-07,R1,C7,CHANTILLY,DE FLEURUS,PLAT,17:48,1,BLACK THUNDER,PARTANT,"8,9","9,3",,pmu,2026-07-07 14:27
2026-07-07,R1,C7,CHANTILLY,DE FLEURUS,PLAT,17:48,2,STUDEN KLADENETS,PARTANT,28,23,,pmu,2026-07-07 14:27
2026-07-07,R1,C7,CHANTILLY,DE FLEURUS,PLAT,17:48,3,LACALAS,PARTANT,15,16,,pmu,2026-07-07 14:27
2026-07-07,R1,C7,CHANTILLY,DE FLEURUS,PLAT,17:48,4,ARTOA,PARTANT,"8,2","8,6",,pmu,2026-07-07 14:27
2026-07-07,R1,C7,CHANTILLY,DE FLEURUS,PLAT,17:48,5,EL VEGAS,PARTANT,14,15,,pmu,2026-07-07 14:27
2026-07-07,R1,C7,CHANTILLY,DE FLEURUS,PLAT,17:48,6,TIKI DREAMS,PARTANT,17,17,,pmu,2026-07-07 14:27
2026-07-07,R1,C7,CHANTILLY,DE FLEURUS,PLAT,17:48,7,SHAMBHALLA,PARTANT,"6,9","7,6",,pmu,2026-07-07 14:27
2026-07-07,R1,C7,CHANTILLY,DE FLEURUS,PLAT,17:48,8,RIGEL BLUE,PARTANT,10,"8,4",,pmu,2026-07-07 14:27
2026-07-07,R1,C7,CHANTILLY,DE FLEURUS,PLAT,17:48,9,GOLDEN FRIEND,PARTANT,"4,1","4,3",,pmu,2026-07-07 14:27
2026-07-07,R1,C7,CHANTILLY,DE FLEURUS,PLAT,17:48,10,VENT D'OR,PARTANT,54,54,,pmu,2026-07-07 14:27
2026-07-07,R1,C7,CHANTILLY,DE FLEURUS,PLAT,17:48,11,PRIORY ROSE,PARTANT,17,16,,pmu,2026-07-07 14:27
